Station Name,Region,Sub Region,State,Year,Total Days
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2015,7
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2015,7
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2015,7
SAN ANTONIO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2015,7
HARTSFIELD-JACKSON ATLANTA INTL AP,SOUTH,SOUTH ATLANTIC,GA,2015,6
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2015,6
SAVANNAH/HILTON HEAD INTL AIRPORT,SOUTH,SOUTH ATLANTIC,GA,2015,6
GREENVILLE-SPARTANBURG INTL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2015,5
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2015,5
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2015,5
SHREVEPORT REGIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,LA,2015,4
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2015,3
GULFPORT-BILOXI INTL ARPT,SOUTH,EAST SOUTH CENTRAL,MS,2015,3
LOUIS ARMSTRONG NEW ORLEANS INTL AP,SOUTH,WEST SOUTH CENTRAL,LA,2015,3
LIHUE AIRPORT,WEST,PACIFIC,HI,2015,2
PENSACOLA REGIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2015,2
SACRAMENTO INTL AIRPORT,WEST,PACIFIC,CA,2015,2
FRESNO YOSEMITE INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2015,1
JACKSONVILLE INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2015,1
ORLANDO INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2015,1
PHOENIX SKY HARBOR INTL AIRPORT,WEST,MOUNTAIN,AZ,2015,1
SAN FRANCISCO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2015,1
TAMPA INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2015,1
